product_id,product_name,quantity_product
175,trek_domane_slr_frameset_2018,5
289,electra_superbolt_1_20_2018,9
220,electra_cruiser_1_ladies_2018,10
70,electra_amsterdam_original_3i_20152017,11
105,sun_bicycles_streamway_7_2017,11
51,trek_silque_slr_8_womens_2017,12
82,electra_amsterdam_original_3i_ladies_2017,12
235,electra_koa_3i_ladies_2018,12
251,electra_townie_commute_go_2018,12
302,electra_townie_original_1_2018,12
8,trek_remedy_29_carbon_frameset_2016,13
180,trek_domane_al_3_womens_2018,14
49,trek_domane_sl_6_2017,16
72,sun_bicycles_biscayne_tandem_7_2017,16
91,trek_precaliber_24_21speed_girls_2017,16
